"State","Year","Race","Births","Female.Population"
"Oklahoma",2005,"White","4720",94388
"Oklahoma",2006,"American Indian or Alaska Native","1153",16768
"Oklahoma",2006,"Asian or Pacific Islander","52",2567
"Oklahoma",2006,"Black or African American","984",13812
"Oklahoma",2006,"White","5134",94522
"Oregon",2003,"American Indian or Alaska Native","156",3065
"Oregon",2003,"Asian or Pacific Islander","80",5336
"Oregon",2003,"Black or African American","148",3175
"Oregon",2003,"White","3780",108643
"Oregon",2004,"American Indian or Alaska Native","156",3172
"Oregon",2004,"Asian or Pacific Islander","80",5386
"Oregon",2004,"Black or African American","163",3289
"Oregon",2004,"White","3655",109063
"Oregon",2005,"American Indian or Alaska Native","136",3226
"Oregon",2005,"Asian or Pacific Islander","73",5631
"Oregon",2005,"Black or African American","154",3425
"Oregon",2005,"White","3691",110145
"Oregon",2006,"American Indian or Alaska Native","155",3359
"Oregon",2006,"Asian or Pacific Islander","92",5798
"Oregon",2006,"Black or African American","157",3606
"Oregon",2006,"White","3926",111465
"Pennsylvania",2003,"American Indian or Alaska Native","52",1353
"Pennsylvania",2003,"Asian or Pacific Islander","225",11291
"Pennsylvania",2003,"Black or African American","4277",57317
"Pennsylvania",2003,"White","8605",358780
"Pennsylvania",2004,"American Indian or Alaska Native","49",1478
"Pennsylvania",2004,"Asian or Pacific Islander","220",11521
"Pennsylvania",2004,"Black or African American","4537",60423
"Pennsylvania",2004,"White","8184",361866
"Pennsylvania",2005,"American Indian or Alaska Native","49",1583
"Pennsylvania",2005,"Asian or Pacific Islander","214",11961
"Pennsylvania",2005,"Black or African American","4707",64134
"Pennsylvania",2005,"White","8172",365152
"Pennsylvania",2006,"American Indian or Alaska Native","78",1687
"Pennsylvania",2006,"Asian or Pacific Islander","201",12234
"Pennsylvania",2006,"Black or African American","4984",66873
"Pennsylvania",2006,"White","8544",367183
"Rhode Island",2003,"American Indian or Alaska Native","39",368
"Rhode Island",2003,"Asian or Pacific Islander","50",1698
"Rhode Island",2003,"Black or African American","173",3514
"Rhode Island",2003,"White","830",33150
"Rhode Island",2004,"American Indian or Alaska Native","38",402
"Rhode Island",2004,"Asian or Pacific Islander","67",1741
"Rhode Island",2004,"Black or African American","171",3688
"Rhode Island",2004,"White","897",33858
"Rhode Island",2005,"American Indian or Alaska Native","30",463
"Rhode Island",2005,"Asian or Pacific Islander","43",1760
"Rhode Island",2005,"Black or African American","177",3879
"Rhode Island",2005,"White","891",34105
"Rhode Island",2006,"American Indian or Alaska Native","28",505
"Rhode Island",2006,"Asian or Pacific Islander","46",1778
"Rhode Island",2006,"Black or African American","164",4030
"Rhode Island",2006,"White","897",34661
"South Carolina",2003,"American Indian or Alaska Native","36",765
"South Carolina",2003,"Asian or Pacific Islander","34",1685
"South Carolina",2003,"Black or African American","3581",54762
"South Carolina",2003,"White","3729",89145
"South Carolina",2004,"American Indian or Alaska Native","43",811
"South Carolina",2004,"Asian or Pacific Islander","44",1749
"South Carolina",2004,"Black or African American","3781",55957
"South Carolina",2004,"White","3725",91530
"South Carolina",2005,"American Indian or Alaska Native","41",857
"South Carolina",2005,"Asian or Pacific Islander","35",1814
"South Carolina",2005,"Black or African American","3845",57583
"South Carolina",2005,"White","3694",93415
"South Carolina",2006,"American Indian or Alaska Native","44",909
"South Carolina",2006,"Asian or Pacific Islander","63",1874
"South Carolina",2006,"Black or African American","4070",58757
"South Carolina",2006,"White","4142",95787
"South Dakota",2003,"American Indian or Alaska Native","413",3856
"South Dakota",2003,"Asian or Pacific Islander","Suppressed",224
"South Dakota",2003,"Black or African American","21",336
"South Dakota",2003,"White","595",25545
"South Dakota",2004,"American Indian or Alaska Native","419",3924
"South Dakota",2004,"Asian or Pacific Islander","Suppressed",244
"South Dakota",2004,"Black or African American","27",336
"South Dakota",2004,"White","681",25133
"South Dakota",2005,"American Indian or Alaska Native","424",3995
"South Dakota",2005,"Asian or Pacific Islander","Suppressed",266
"South Dakota",2005,"Black or African American","17",362
"South Dakota",2005,"White","645",24793
"South Dakota",2006,"American Indian or Alaska Native","445",3972
"South Dakota",2006,"Asian or Pacific Islander","Suppressed",299
"South Dakota",2006,"Black or African American","22",386
"South Dakota",2006,"White","659",24387
"Tennessee",2003,"American Indian or Alaska Native","19",725
"Tennessee",2003,"Asian or Pacific Islander","53",2677
"Tennessee",2003,"Black or African American","3224",42074
"Tennessee",2003,"White","7081",147927
"Tennessee",2004,"American Indian or Alaska Native","19",792
"Tennessee",2004,"Asian or Pacific Islander","69",2762
"Tennessee",2004,"Black or African American","3394",43694
"Tennessee",2004,"White","6789",150174
"Tennessee",2005,"American Indian or Alaska Native","25",864
"Tennessee",2005,"Asian or Pacific Islander","72",2923
"Tennessee",2005,"Black or African American","3727",45427
"Tennessee",2005,"White","7143",153224
"Tennessee",2006,"American Indian or Alaska Native","38",873
"Tennessee",2006,"Asian or Pacific Islander","97",3003
"Tennessee",2006,"Black or African American","3490",47211
"Tennessee",2006,"White","7319",156043
"Texas",2003,"American Indian or Alaska Native","152",8199
"Texas",2003,"Asian or Pacific Islander","290",25135
"Texas",2003,"Black or African American","7481",111673
"Texas",2003,"White","44135",670860
"Texas",2004,"American Indian or Alaska Native","108",8598
"Texas",2004,"Asian or Pacific Islander","306",26038
"Texas",2004,"Black or African American","7641",114507
"Texas",2004,"White","44306",678182
"Texas",2005,"American Indian or Alaska Native","135",8952
"Texas",2005,"Asian or Pacific Islander","288",27138
"Texas",2005,"Black or African American","7625",118274
"Texas",2005,"White","44031",686674
"Texas",2006,"American Indian or Alaska Native","160",9659
"Texas",2006,"Asian or Pacific Islander","365",28545
"Texas",2006,"Black or African American","8583",126046
"Texas",2006,"White","44900",697979
"Utah",2003,"American Indian or Alaska Native","109",2110
"Utah",2003,"Asian or Pacific Islander","89",3049
"Utah",2003,"Black or African American","59",1344
"Utah",2003,"White","3075",97621
"Utah",2004,"American Indian or Alaska Native","105",2132
"Utah",2004,"Asian or Pacific Islander","67",3152
"Utah",2004,"Black or African American","58",1334
"Utah",2004,"White","3006",97056
"Utah",2005,"American Indian or Alaska Native","98",2219
"Utah",2005,"Asian or Pacific Islander","72",3277
"Utah",2005,"Black or African American","74",1398
"Utah",2005,"White","2987",97488
"Utah",2006,"American Indian or Alaska Native","108",2240
"Utah",2006,"Asian or Pacific Islander","100",3402
"Utah",2006,"Black or African American","73",1514
"Utah",2006,"White","3243",97905
"Vermont",2003,"American Indian or Alaska Native","Suppressed",134
"Vermont",2003,"Asian or Pacific Islander","Suppressed",383
"Vermont",2003,"Black or African American","Suppressed",284
"Vermont",2003,"White","414",22786
"Vermont",2004,"American Indian or Alaska Native","Suppressed",129
"Vermont",2004,"Asian or Pacific Islander","Suppressed",398
"Vermont",2004,"Black or African American","Suppressed",316
"Vermont",2004,"White","461",22889
"Vermont",2005,"American Indian or Alaska Native","Suppressed",136
"Vermont",2005,"Asian or Pacific Islander","Suppressed",409
"Vermont",2005,"Black or African American","Suppressed",332
"Vermont",2005,"White","406",22810
"Vermont",2006,"American Indian or Alaska Native","Suppressed",136
"Vermont",2006,"Asian or Pacific Islander","Suppressed",410
"Vermont",2006,"Black or African American","Suppressed",393
"Vermont",2006,"White","460",22658
"Virginia",2003,"American Indian or Alaska Native","10",1243
"Virginia",2003,"Asian or Pacific Islander","115",11447
"Virginia",2003,"Black or African American","3734",62622
"Virginia",2003,"White","5119",175590
"Virginia",2004,"American Indian or Alaska Native","12",1308
"Virginia",2004,"Asian or Pacific Islander","113",11958
"Virginia",2004,"Black or African American","3514",64543
"Virginia",2004,"White","5284",178622
"Virginia",2005,"American Indian or Alaska Native","19",1407
"Virginia",2005,"Asian or Pacific Islander","140",12428
"Virginia",2005,"Black or African American","3512",66522
"Virginia",2005,"White","5236",181097
"Virginia",2006,"American Indian or Alaska Native","14",1509
"Virginia",2006,"Asian or Pacific Islander","128",12933
"Virginia",2006,"Black or African American","3726",68575
"Virginia",2006,"White","5366",183511
"Washington",2003,"American Indian or Alaska Native","404",5752
"Washington",2003,"Asian or Pacific Islander","353",16660
"Washington",2003,"Black or African American","518",10621
"Washington",2003,"White","5547",178678
"Washington",2004,"American Indian or Alaska Native","403",6046
"Washington",2004,"Asian or Pacific Islander","376",17217
"Washington",2004,"Black or African American","520",10867
"Washington",2004,"White","5529",180605
"Washington",2005,"American Indian or Alaska Native","351",6187
"Washington",2005,"Asian or Pacific Islander","424",17610
"Washington",2005,"Black or African American","530",11332
"Washington",2005,"White","5525",182111
"Washington",2006,"American Indian or Alaska Native","368",6331
"Washington",2006,"Asian or Pacific Islander","351",18366
"Washington",2006,"Black or African American","604",11777
"Washington",2006,"White","5869",184030
"West Virginia",2003,"American Indian or Alaska Native","Suppressed",126
"West Virginia",2003,"Asian or Pacific Islander","Suppressed",449
"West Virginia",2003,"Black or African American","137",2407
"West Virginia",2003,"White","2437",54546
"West Virginia",2004,"American Indian or Alaska Native","Suppressed",130
"West Virginia",2004,"Asian or Pacific Islander","Suppressed",443
"West Virginia",2004,"Black or African American","128",2371
"West Virginia",2004,"White","2365",54681
"West Virginia",2005,"American Indian or Alaska Native","Suppressed",147
"West Virginia",2005,"Asian or Pacific Islander","Suppressed",432
"West Virginia",2005,"Black or African American","140",2393
"West Virginia",2005,"White","2321",55094
"West Virginia",2006,"American Indian or Alaska Native","Suppressed",134
"West Virginia",2006,"Asian or Pacific Islander","Suppressed",392
"West Virginia",2006,"Black or African American","134",2482
"West Virginia",2006,"White","2468",55543
"Wisconsin",2003,"American Indian or Alaska Native","202",2829
"Wisconsin",2003,"Asian or Pacific Islander","282",6066
"Wisconsin",2003,"Black or African American","1588",16087
"Wisconsin",2003,"White","4246",177394
"Wisconsin",2004,"American Indian or Alaska Native","209",2901
"Wisconsin",2004,"Asian or Pacific Islander","291",6207
"Wisconsin",2004,"Black or African American","1536",16561
"Wisconsin",2004,"White","4049",176447
"Wisconsin",2005,"American Indian or Alaska Native","212",2954
"Wisconsin",2005,"Asian or Pacific Islander","288",6429
"Wisconsin",2005,"Black or African American","1579",17215
"Wisconsin",2005,"White","4018",175600
"Wisconsin",2006,"American Indian or Alaska Native","204",3028
"Wisconsin",2006,"Asian or Pacific Islander","272",6461
"Wisconsin",2006,"Black or African American","1562",17943
"Wisconsin",2006,"White","4069",174048
"Wyoming",2003,"American Indian or Alaska Native","58",606
"Wyoming",2003,"Asian or Pacific Islander","Suppressed",164
"Wyoming",2003,"Black or African American","13",221
"Wyoming",2003,"White","728",18209
"Wyoming",2004,"American Indian or Alaska Native","65",631
"Wyoming",2004,"Asian or Pacific Islander","Suppressed",172
"Wyoming",2004,"Black or African American","Suppressed",248
"Wyoming",2004,"White","744",17892
"Wyoming",2005,"American Indian or Alaska Native","66",639
"Wyoming",2005,"Asian or Pacific Islander","Suppressed",163
"Wyoming",2005,"Black or African American","Suppressed",222
"Wyoming",2005,"White","727",17593
"Wyoming",2006,"American Indian or Alaska Native","67",676
"Wyoming",2006,"Asian or Pacific Islander","Suppressed",179
"Wyoming",2006,"Black or African American","11",233
"Wyoming",2006,"White","773",17373
"Alabama",2007,"American Indian or Alaska Native","31",1312
"Alabama",2007,"Asian or Pacific Islander","36",1780
"Alabama",2007,"Black or African American","3741",56582
"Alabama",2007,"White","5024",107337
"Alabama",2008,"American Indian or Alaska Native","35",1406
"Alabama",2008,"Asian or Pacific Islander","25",1907
"Alabama",2008,"Black or African American","3764",57601
"Alabama",2008,"White","4895",108461
"Alabama",2009,"American Indian or Alaska Native","34",1431
"Alabama",2009,"Asian or Pacific Islander","35",1997
"Alabama",2009,"Black or African American","3531",57479
"Alabama",2009,"White","4765",108960
"Alabama",2010,"American Indian or Alaska Native","36",1374
"Alabama",2010,"Asian or Pacific Islander","27",2099
"Alabama",2010,"Black or African American","3153",56600
"Alabama",2010,"White","4237",108247
"Alabama",2011,"American Indian or Alaska Native","25",1382
"Alabama",2011,"Asian or Pacific Islander","20",2087
"Alabama",2011,"Black or African American","2832",55265
"Alabama",2011,"White","3827",104348
"Alabama",2012,"American Indian or Alaska Native","37",1338
"Alabama",2012,"Asian or Pacific Islander","21",2104
"Alabama",2012,"Black or African American","2633",53151
"Alabama",2012,"White","3592",101630
"Alabama",2013,"American Indian or Alaska Native","23",1286
"Alabama",2013,"Asian or Pacific Islander","15",2181
"Alabama",2013,"Black or African American","2172",52204
"Alabama",2013,"White","3246",101428
"Alabama",2014,"American Indian or Alaska Native","21",1309
"Alabama",2014,"Asian or Pacific Islander","30",2286
"Alabama",2014,"Black or African American","1955",51418
"Alabama",2014,"White","3067",101409
"Alabama",2015,"American Indian or Alaska Native","21",1342
"Alabama",2015,"Asian or Pacific Islander","19",2526
"Alabama",2015,"Black or African American","1850",51203
"Alabama",2015,"White","2901",102276
"Alaska",2007,"American Indian or Alaska Native","461",6186
"Alaska",2007,"Asian or Pacific Islander","83",1881
"Alaska",2007,"Black or African American","74",1256
"Alaska",2007,"White","503",16732
"Alaska",2008,"American Indian or Alaska Native","506",5987
"Alaska",2008,"Asian or Pacific Islander","87",1931
"Alaska",2008,"Black or African American","54",1313
"Alaska",2008,"White","493",16454
"Alaska",2009,"American Indian or Alaska Native","476",5819
"Alaska",2009,"Asian or Pacific Islander","106",2030
"Alaska",2009,"Black or African American","60",1278
"Alaska",2009,"White","472",16475
"Alaska",2010,"American Indian or Alaska Native","425",5585
"Alaska",2010,"Asian or Pacific Islander","105",2095
"Alaska",2010,"Black or African American","53",1313
"Alaska",2010,"White","378",15969
"Alaska",2011,"American Indian or Alaska Native","392",5400
"Alaska",2011,"Asian or Pacific Islander","81",1990
"Alaska",2011,"Black or African American","50",1359
"Alaska",2011,"White","363",15591
"Alaska",2012,"American Indian or Alaska Native","349",5216
"Alaska",2012,"Asian or Pacific Islander","88",2029
"Alaska",2012,"Black or African American","50",1383
"Alaska",2012,"White","336",15053
"Alaska",2013,"American Indian or Alaska Native","269",5162
"Alaska",2013,"Asian or Pacific Islander","81",2086
"Alaska",2013,"Black or African American","46",1444
"Alaska",2013,"White","320",14694
"Alaska",2014,"American Indian or Alaska Native","238",5086
"Alaska",2014,"Asian or Pacific Islander","63",2199
"Alaska",2014,"Black or African American","44",1463
"Alaska",2014,"White","307",14421
"Alaska",2015,"American Indian or Alaska Native","282",5076
"Alaska",2015,"Asian or Pacific Islander","74",2186
"Alaska",2015,"Black or African American","39",1367
"Alaska",2015,"White","270",13983
"Arizona",2007,"American Indian or Alaska Native","1333",17989
"Arizona",2007,"Asian or Pacific Islander","111",6322
"Arizona",2007,"Black or African American","649",11984
"Arizona",2007,"White","10956",179570
"Arizona",2008,"American Indian or Alaska Native","1210",18026
"Arizona",2008,"Asian or Pacific Islander","119",6820
"Arizona",2008,"Black or African American","695",13078
"Arizona",2008,"White","10191",183233
"Arizona",2009,"American Indian or Alaska Native","1194",17930
"Arizona",2009,"Asian or Pacific Islander","95",7180
"Arizona",2009,"Black or African American","622",13992
"Arizona",2009,"White","9096",184811
"Arizona",2010,"American Indian or Alaska Native","1015",17547
"Arizona",2010,"Asian or Pacific Islander","112",7522
"Arizona",2010,"Black or African American","578",14331
"Arizona",2010,"White","7792",184902
"Arizona",2011,"American Indian or Alaska Native","1013",16997
"Arizona",2011,"Asian or Pacific Islander","114",7478
"Arizona",2011,"Black or African American","574",14265
"Arizona",2011,"White","6803",179474
"Arizona",2012,"American Indian or Alaska Native","928",16669
"Arizona",2012,"Asian or Pacific Islander","82",7799
"Arizona",2012,"Black or African American","561",14251
"Arizona",2012,"White","6618",178255
"Arizona",2013,"American Indian or Alaska Native","812",16331
"Arizona",2013,"Asian or Pacific Islander","83",8251
"Arizona",2013,"Black or African American","521",14448
"Arizona",2013,"White","5887",179693
"Arizona",2014,"American Indian or Alaska Native","640",16192
"Arizona",2014,"Asian or Pacific Islander","82",8549
"Arizona",2014,"Black or African American","467",14783
"Arizona",2014,"White","5481",181691
"Arizona",2015,"American Indian or Alaska Native","602",16397
"Arizona",2015,"Asian or Pacific Islander","83",8988
"Arizona",2015,"Black or African American","385",15201
"Arizona",2015,"White","4882",184205
"Arkansas",2007,"American Indian or Alaska Native","42",1158
"Arkansas",2007,"Asian or Pacific Islander","29",1508
"Arkansas",2007,"Black or African American","1778",20385
"Arkansas",2007,"White","4180",75493
"Arkansas",2008,"American Indian or Alaska Native","53",1215
"Arkansas",2008,"Asian or Pacific Islander","30",1589
"Arkansas",2008,"Black or African American","1756",20701
"Arkansas",2008,"White","4177",75902
"Arkansas",2009,"American Indian or Alaska Native","30",1252
"Arkansas",2009,"Asian or Pacific Islander","20",1681
"Arkansas",2009,"Black or African American","1731",20723
"Arkansas",2009,"White","4050",75814
"Arkansas",2010,"American Indian or Alaska Native","48",1242
"Arkansas",2010,"Asian or Pacific Islander","23",1707
"Arkansas",2010,"Black or African American","1487",20779
"Arkansas",2010,"White","3747",75899
"Arkansas",2011,"American Indian or Alaska Native","53",1257
"Arkansas",2011,"Asian or Pacific Islander","27",1598
"Arkansas",2011,"Black or African American","1353",20003
"Arkansas",2011,"White","3469",72749
"Arkansas",2012,"American Indian or Alaska Native","48",1296
"Arkansas",2012,"Asian or Pacific Islander","39",1709
"Arkansas",2012,"Black or African American","1243",19461
"Arkansas",2012,"White","3077",72784
"Arkansas",2013,"American Indian or Alaska Native","24",1230
"Arkansas",2013,"Asian or Pacific Islander","39",1721
"Arkansas",2013,"Black or African American","1156",19450
"Arkansas",2013,"White","2973",73063
"Arkansas",2014,"American Indian or Alaska Native","30",1209
"Arkansas",2014,"Asian or Pacific Islander","56",1784
"Arkansas",2014,"Black or African American","996",19477
"Arkansas",2014,"White","2743",73180
"Arkansas",2015,"American Indian or Alaska Native","45",1243
"Arkansas",2015,"Asian or Pacific Islander","49",1967
"Arkansas",2015,"Black or African American","1020",19663
"Arkansas",2015,"White","2605",73869
"California",2007,"American Indian or Alaska Native","583",30760
"California",2007,"Asian or Pacific Islander","2046",175736
"California",2007,"Black or African American","5032",119059
"California",2007,"White","46419",1024049
"California",2008,"American Indian or Alaska Native","581",32101
"California",2008,"Asian or Pacific Islander","1894",180194
"California",2008,"Black or African American","5009",120187
"California",2008,"White","44871",1032660
"California",2009,"American Indian or Alaska Native","557",33631
"California",2009,"Asian or Pacific Islander","1727",182640
"California",2009,"Black or African American","4653",120003
"California",2009,"White","41444",1035171
"California",2010,"American Indian or Alaska Native","499",34247
"California",2010,"Asian or Pacific Islander","1495",185272
"California",2010,"Black or African American","4176",119085
"California",2010,"White","37412",1030254
"California",2011,"American Indian or Alaska Native","403",33968
"California",2011,"Asian or Pacific Islander","1304",177083
"California",2011,"Black or African American","3794",113978
"California",2011,"White","33228",1008753
"California",2012,"American Indian or Alaska Native","391",33069
"California",2012,"Asian or Pacific Islander","1239",178171
"California",2012,"Black or African American","3418",110749
"California",2012,"White","30201",994669
"California",2013,"American Indian or Alaska Native","369",32332
"California",2013,"Asian or Pacific Islander","1043",176419
"California",2013,"Black or African American","2992",107689
"California",2013,"White","26415",977160
"California",2014,"American Indian or Alaska Native","320",31646
"California",2014,"Asian or Pacific Islander","873",177293
"California",2014,"Black or African American","2534",105247
"California",2014,"White","23526",965251
"California",2015,"American Indian or Alaska Native","284",31225
"California",2015,"Asian or Pacific Islander","763",180082
"California",2015,"Black or African American","2188",102932
"California",2015,"White","21160",955469
"Colorado",2007,"American Indian or Alaska Native","129",3752
"Colorado",2007,"Asian or Pacific Islander","82",5166
"Colorado",2007,"Black or African American","516",9295
"Colorado",2007,"White","6108",143923
"Colorado",2008,"American Indian or Alaska Native","131",4037
"Colorado",2008,"Asian or Pacific Islander","81",5399
"Colorado",2008,"Black or African American","528",9706
"Colorado",2008,"White","5982",144790
"Colorado",2009,"American Indian or Alaska Native","133",4163
"Colorado",2009,"Asian or Pacific Islander","91",5661
"Colorado",2009,"Black or African American","460",10028
"Colorado",2009,"White","5590",144697
"Colorado",2010,"American Indian or Alaska Native","132",4243
"Colorado",2010,"Asian or Pacific Islander","92",5829
"Colorado",2010,"Black or African American","433",10225
"Colorado",2010,"White","4874",143448
"Colorado",2011,"American Indian or Alaska Native","100",4230
"Colorado",2011,"Asian or Pacific Islander","53",6122
"Colorado",2011,"Black or African American","372",10384
"Colorado",2011,"White","4276",143063
"Colorado",2012,"American Indian or Alaska Native","85",4164
"Colorado",2012,"Asian or Pacific Islander","56",6276
"Colorado",2012,"Black or African American","341",10326
"Colorado",2012,"White","3702",142736
"Colorado",2013,"American Indian or Alaska Native","73",4029
"Colorado",2013,"Asian or Pacific Islander","72",6624
"Colorado",2013,"Black or African American","285",10480
"Colorado",2013,"White","3434",142618
"Colorado",2014,"American Indian or Alaska Native","67",4108
"Colorado",2014,"Asian or Pacific Islander","69",7109
"Colorado",2014,"Black or African American","285",10713
"Colorado",2014,"White","2984",144169
"Colorado",2015,"American Indian or Alaska Native","73",4224
"Colorado",2015,"Asian or Pacific Islander","69",7596
"Colorado",2015,"Black or African American","280",10790
"Colorado",2015,"White","2877",146509
"Connecticut",2007,"American Indian or Alaska Native","10",803
"Connecticut",2007,"Asian or Pacific Islander","29",4287
"Connecticut",2007,"Black or African American","742",18424
"Connecticut",2007,"White","2089",99578
"Connecticut",2008,"American Indian or Alaska Native","10",824
"Connecticut",2008,"Asian or Pacific Islander","15",4385
"Connecticut",2008,"Black or African American","758",18882
"Connecticut",2008,"White","2032",99357
"Connecticut",2009,"American Indian or Alaska Native","10",854
"Connecticut",2009,"Asian or Pacific Islander","11",4584
"Connecticut",2009,"Black or African American","688",18955
"Connecticut",2009,"White","1917",98651
"Connecticut",2010,"American Indian or Alaska Native","15",904
"Connecticut",2010,"Asian or Pacific Islander","17",4698
"Connecticut",2010,"Black or African American","600",18962
"Connecticut",2010,"White","1662",97321
"Connecticut",2011,"American Indian or Alaska Native","10",932
"Connecticut",2011,"Asian or Pacific Islander","16",4926
"Connecticut",2011,"Black or African American","534",18380
"Connecticut",2011,"White","1484",99011
"Connecticut",2012,"American Indian or Alaska Native","Suppressed",972
"Connecticut",2012,"Asian or Pacific Islander","20",5202
"Connecticut",2012,"Black or African American","451",18122
"Connecticut",2012,"White","1436",100690
"Connecticut",2013,"American Indian or Alaska Native","Suppressed",956
"Connecticut",2013,"Asian or Pacific Islander","17",5584
"Connecticut",2013,"Black or African American","379",18250
"Connecticut",2013,"White","1223",99312
"Connecticut",2014,"American Indian or Alaska Native","Suppressed",924
"Connecticut",2014,"Asian or Pacific Islander","12",6056
"Connecticut",2014,"Black or African American","336",18037
"Connecticut",2014,"White","1082",98340
"Connecticut",2015,"American Indian or Alaska Native","Suppressed",947
"Connecticut",2015,"Asian or Pacific Islander","12",6259
"Connecticut",2015,"Black or African American","303",18165
"Connecticut",2015,"White","927",97139
"Delaware",2007,"American Indian or Alaska Native","Suppressed",240
"Delaware",2007,"Asian or Pacific Islander","Suppressed",901
"Delaware",2007,"Black or African American","533",9052
"Delaware",2007,"White","718",21526
"Delaware",2008,"American Indian or Alaska Native","Suppressed",261
"Delaware",2008,"Asian or Pacific Islander","Suppressed",981
"Delaware",2008,"Black or African American","526",9242
"Delaware",2008,"White","724",21793
"Delaware",2009,"American Indian or Alaska Native","Suppressed",266
"Delaware",2009,"Asian or Pacific Islander","Suppressed",995
"Delaware",2009,"Black or African American","488",9338
"Delaware",2009,"White","607",21684
"Delaware",2010,"American Indian or Alaska Native","Suppressed",266
"Delaware",2010,"Asian or Pacific Islander","Suppressed",1021
"Delaware",2010,"Black or African American","427",9227
"Delaware",2010,"White","557",21417
"Delaware",2011,"American Indian or Alaska Native","Suppressed",250
"Delaware",2011,"Asian or Pacific Islander","Suppressed",979
"Delaware",2011,"Black or African American","393",8858
"Delaware",2011,"White","518",20579
"Delaware",2012,"American Indian or Alaska Native","Suppressed",270
"Delaware",2012,"Asian or Pacific Islander","Suppressed",1048
"Delaware",2012,"Black or African American","317",8698
"Delaware",2012,"White","448",20374
"Delaware",2013,"American Indian or Alaska Native","Suppressed",245
"Delaware",2013,"Asian or Pacific Islander","Suppressed",1050
"Delaware",2013,"Black or African American","318",8486
"Delaware",2013,"White","409",19740
"Delaware",2014,"American Indian or Alaska Native","Suppressed",212
"Delaware",2014,"Asian or Pacific Islander","Suppressed",1151
"Delaware",2014,"Black or African American","253",8593
"Delaware",2014,"White","368",19827
"Delaware",2015,"American Indian or Alaska Native","Suppressed",221
"Delaware",2015,"Asian or Pacific Islander","Suppressed",1144
"Delaware",2015,"Black or African American","226",8779
"Delaware",2015,"White","321",19721
"District of Columbia",2007,"American Indian or Alaska Native","Suppressed",141
"District of Columbia",2007,"Asian or Pacific Islander","Suppressed",710
"District of Columbia",2007,"Black or African American","892",13235
"District of Columbia",2007,"White","177",6793
"District of Columbia",2008,"American Indian or Alaska Native","Suppressed",148
"District of Columbia",2008,"Asian or Pacific Islander","Suppressed",741
"District of Columbia",2008,"Black or African American","937",13431
"District of Columbia",2008,"White","171",6861
"District of Columbia",2009,"American Indian or Alaska Native","Suppressed",138
"District of Columbia",2009,"Asian or Pacific Islander","18",785
"District of Columbia",2009,"Black or African American","949",13527
"District of Columbia",2009,"White","90",6891
"District of Columbia",2010,"American Indian or Alaska Native","Suppressed",144
"District of Columbia",2010,"Asian or Pacific Islander","26",792
"District of Columbia",2010,"Black or African American","869",13099
"District of Columbia",2010,"White","69",6933
"District of Columbia",2011,"American Indian or Alaska Native","Suppressed",130
"District of Columbia",2011,"Asian or Pacific Islander","17",794
"District of Columbia",2011,"Black or African American","828",12635
"District of Columbia",2011,"White","62",6972
"District of Columbia",2012,"American Indian or Alaska Native","Suppressed",121
"District of Columbia",2012,"Asian or Pacific Islander","13",817
"District of Columbia",2012,"Black or African American","699",12492
"District of Columbia",2012,"White","83",7081
"District of Columbia",2013,"American Indian or Alaska Native","Suppressed",123
"District of Columbia",2013,"Asian or Pacific Islander","12",795
"District of Columbia",2013,"Black or African American","569",11713
"District of Columbia",2013,"White","72",7191
"District of Columbia",2014,"American Indian or Alaska Native","Suppressed",121
"District of Columbia",2014,"Asian or Pacific Islander","Suppressed",918
"District of Columbia",2014,"Black or African American","481",11363
"District of Columbia",2014,"White","82",7468
"District of Columbia",2015,"American Indian or Alaska Native","Suppressed",108
"District of Columbia",2015,"Asian or Pacific Islander","Suppressed",901
"District of Columbia",2015,"Black or African American","412",11055
"District of Columbia",2015,"White","90",7487
"Florida",2007,"American Indian or Alaska Native","110",3703
"Florida",2007,"Asian or Pacific Islander","257",16411
"Florida",2007,"Black or African American","9414",140468
"Florida",2007,"White","16290",437454
"Florida",2008,"American Indian or Alaska Native","119",3747
"Florida",2008,"Asian or Pacific Islander","228",16957
"Florida",2008,"Black or African American","9114",142474
"Florida",2008,"White","14972",439181
"Florida",2009,"American Indian or Alaska Native","93",3819
"Florida",2009,"Asian or Pacific Islander","186",17278
"Florida",2009,"Black or African American","8494",142547
"Florida",2009,"White","13508",437889
"Florida",2010,"American Indian or Alaska Native","50",3792
"Florida",2010,"Asian or Pacific Islander","140",17713
"Florida",2010,"Black or African American","7372",141140
"Florida",2010,"White","11814",434450
"Florida",2011,"American Indian or Alaska Native","37",3916
"Florida",2011,"Asian or Pacific Islander","143",17741
"Florida",2011,"Black or African American","6546",136585
"Florida",2011,"White","10591",421408
"Florida",2012,"American Indian or Alaska Native","40",3947
"Florida",2012,"Asian or Pacific Islander","108",17873
"Florida",2012,"Black or African American","5890",132709
"Florida",2012,"White","10106",415546
"Florida",2013,"American Indian or Alaska Native","33",3829
"Florida",2013,"Asian or Pacific Islander","104",18038
"Florida",2013,"Black or African American","5077",131241
"Florida",2013,"White","8913",414432
"Florida",2014,"American Indian or Alaska Native","29",3842
"Florida",2014,"Asian or Pacific Islander","108",18524
"Florida",2014,"Black or African American","4460",130711
"Florida",2014,"White","8361",415281
"Florida",2015,"American Indian or Alaska Native","40",3855
