Country Name,Country Code,EducExpense,AdolescentBirths,"Birth Rate (per 1,000)",Business Start  (% of GNI per capita),"Death rate, crude (per 1,000)",Diabetes (% of population ages 20 to 79),Business Ease (1=most friendly),"Employment to population ratio, 15+, female (%)","Employment to population ratio, 15+, male (%)","Fertility rate, total (births per woman)",Fixed broadband subscriptions (per 100),Fixed telephone subscriptions (per 100),Percent Forest,GDP Growth,GDP per capita,"Immunization, DPT (%)","Immunization, measles (%)",Import Value (100),Import Volume (100),Percent Sanitation,Percent Imp Water,"TB (per 100,000)",Percent Internet,Inflation,Percent Migrant,Number of Tourists,% Female Labor Participation,% Male Labor Participation,% Labor Force Female,Life Exp Female,Life Exp Male,Cell (per 100),Traffic Mortality (per 100000),Infant Mortality (per 1000),Under 5 yrs Mortality,Air Pollution (micrograms per m^3),Population ages 0-14 (% of total),Population ages 65+ (% of total),Population density (people per sq. km of land area) [EN.POP.DNST],Annual Pop Growth (%),Percent Rural,Rural population growth (annual %),Secure Servers (per million),"Suicides (per 100,000)","Survival to age 65, female (%)","Survival to age 65, male (%)",Alcohol (liters/pp),Total Tax Rate (% of profits),"Unemployment, female (%)","Unemployment, male (%)",Urban population (% of total),Urban population growth (annual %)
El Salvador,SLV,3.15,64.9156,17.175,42.7,6.833,9.2,86,46.96900177,73.2009964,1.909,5.493322287,14.69445543,12.78957529,2.455062222,4219.35033,91,95,210.5437639,136.1943533,75,93.8,43,26.91507533,0.704747803,0.686271613,1402000,49.11299896,79.15899658,42.73667724,77.659,68.565,145.255666,19,14.4,16.8,37.0047886,27.02860632,8.171798211,295.6845077,0.308591942,33.274,-1.096995002,25.78925316,11.1,83.73506,66.33604,3.5,38.8,4.363999844,7.52699995,66.726,1.016962709
Equatorial Guinea,GNQ,1,107.5306,34.626,99.4,10.594,7.7,175,66.17700195,85.78700256,4.745,0.47524807,1.417863022,55.90017825,-8.284968855,14439.59445,16,27,1320.323501,965.2580197,74.5,47.9,172,21.31999999,-25.84198846,1.280974132,,71.31600189,92.02200317,41.89123084,59.353,56.64,66.71937471,20.8,68.2,94.1,47.11721082,39.26088088,2.885948927,30.12691622,2.902460419,60.077,2.624921093,3.550043784,22.6,57.20495,51.8779,8.1,47.1,7.205999851,6.776000023,39.923,3.321565393
Eritrea,ERI,1.72,53.0018,33.393,38.1,6.408,3.6,189,71.70600128,84.16899872,4.207,,0.979572354,14.95049505,,,95,85,186.7447191,102.7539927,15.7,57.8,65,1.083733116,,,,77.68900299,90.24099731,,66.31,61.997,7.04995255,24.9,34.1,46.5,43.49048059,,,,,,,,6.7,65.41392,55.40141,1.4,83.7,7.701000214,6.728000164,,
Estonia,EST,4.35,12.4362,10.6,1.3,11.6,4.4,11,52.0379982,65.20999908,1.54,30.00475697,30.27642754,52.65392781,1.444213103,17084.51742,93,93,287.2137965,174.2073858,97.2,99.6,18,88.4066,1.038130634,15.41630922,2989000,55.45000076,69.53399658,48.42715086,82.1,72.4,148.6880842,6.3,2.3,2.9,9.404689495,16.0878224,18.75970433,31.01221986,0.004792418,32.462,0.263969716,1143.306598,18.9,89.45031,72.54736,,49.4,6.152999878,6.217999935,67.538,-0.119541973
Ethiopia,ETH,2.88,56.6122,31.906,79.1,7.198,3.4,159,70.90399933,86.44100189,4.275,0.48311082,0.900164826,12.499,9.607518001,619.1694065,86,78,2048.146152,1332.749945,28,57.3,192,11.6,6.359643948,1.079526012,864000,76.9940033,89.06400299,46.92427194,66.592,62.66,42.76402881,27.3,41.4,59.2,35.73814656,41.44022759,3.483890604,99.39075,2.47736063,80.528,1.927514449,0.241471163,8.4,68.7898,61.56476,4.3,37.8,7.909999847,2.944999933,19.472,4.78395465
Fiji,FJI,3.941706017,45.1952,19.688,21.3,6.982,13.8,84,32.77000046,66.62000275,2.54,1.426415914,8.128464805,55.67597154,5.563460807,4960.519954,99,94,312.0047234,179.7844722,91.1,95.7,51,46.32872895,3.431708045,1.541341374,755000,37.02700043,71.29199982,33.68770206,73.353,67.307,108.2021715,5.8,19.1,22.4,7.870697243,28.74465474,5.831002808,48.83114395,0.640395308,46.272,-0.164587974,51.56112515,8.5,78.11038,64.75129,3.2,31.1,11.49800014,6.553999901,53.728,1.33889927
Finland,FIN,6.741224202,6.3768,10.1,1,9.6,6,12,50.19300079,55.96900177,1.71,31.67966037,9.83776118,73.11198131,0.268556389,42403.46748,98,97,174.8927839,113.8004718,97.6,100,5.6,92.6513,1.691626105,5.739683257,2622000,55.02700043,62.13600159,48.11809453,84.1,78.8,135.4468526,4.4,1.9,2.3,7.379235597,16.33833062,20.4771837,18.03129751,0.329383886,15.779,-0.522564866,1782.451819,16.2,92.20027,84.54797,11.9,37.9,8.784999847,9.923999786,84.221,0.489808885
France,FRA,5.01,8.8148,12,0.8,9,5.3,28,45.67900085,53.50999832,2.01,41.34472681,59.90653479,31.02690679,1.274180325,36352.48007,98,91,169.3749789,97.00605913,98.7,100,8.2,84.6945,0.638279895,12.08847938,84452000,50.68299866,59.99200058,47.67754281,86,79.5,102.6131585,5.1,3.5,4.3,12.36533737,18.48353324,19.12051096,121.5186565,0.405729567,20.48,-0.715891447,812.5985493,16.9,92.33115,84.91892,11.6,62.8,9.873000145,10.80300045,79.52,0.696646574
French Polynesia,PYF,0.499851816,35.5862,15.997,,5.649,19.4,,37.18399811,51.49900055,2.027,18.35735808,21.21910851,42.34972678,,,,,157.2574665,112.160696,98.5,100,19,64.56020975,,10.63006606,184000,46.68500137,63.22399902,41.47941232,79.066,74.549,94.8968044,,,,,22.14107878,7.550112461,77.2579235,1.06054732,44.12,1.277818021,180.3624224,,87.29933,79.80574,,,20.35099983,18.54500008,55.88,0.889335495
Gabon,GAB,3.06,97.692,29.718,15.1,8.391,7.8,161,30.6760006,48.0909996,3.849,0.632823568,1.071151822,89.26145845,4.012827565,8266.445605,80,68,393.0040983,274.1594169,41.9,93.2,465,23.5,-9.773645204,15.55585953,,39.89199829,57.5320015,40.35212611,65.674,64.144,161.1213232,22.7,36.1,50.8,39.86049558,37.12693272,5.104932962,6.695742617,2.204565449,12.844,0.383863745,9.853404525,10.9,66.23097,63.81978,11.8,45.2,23.10199928,16.4090004,87.156,2.47570393
"Gambia, The",GMB,2.66,112.4634,41.698,141.6,8.58,2,150,44.55899811,64.875,5.674,0.181363101,2.284170042,48.22134387,4.715879134,471.5371955,97,97,219.297861,128.696005,58.9,90.2,174,17.1198205,7.537604549,9.670886483,135000,72.19400024,82.70999908,47.92015501,61.867,59.135,137.8457028,30.4,47.9,68.9,60.94814767,46.18428428,2.313850252,196.7316206,3.201140871,40.368,1.684263284,5.52507278,6.2,62.30316,55.44598,3.2,51.3,38.27899933,21.56299973,59.632,4.241211325
Georgia,GEO,1.76,38.3292,13.359,3.1,11.533,6.4,23,51.39599991,67.91100311,1.815,14.74192364,22.07360136,40.61591596,2.774928095,3757.064863,94,96,1088.84428,694.5963411,86.3,100,99,47.56975964,5.782040371,4.220248352,5901000,57.26599884,78.40699768,45.48229752,78.496,71.314,128.9505963,11.6,10.6,11.9,20.4763228,17.32746439,14.02565921,65.29246443,-0.265982613,46.359,-0.638505949,62.6832746,6.7,88.31863,74.48114,6.7,16.4,10.25,13.38700008,53.641,0.057090656
Germany,DEU,4.67,6.4276,9,2,11.3,7.4,14,52.22600174,63.13199997,1.5,37.19317302,54.92841477,32.72857552,1.7207335,41178.4566,96,97,211.7114511,132.1022787,99.2,100,8.1,87.5898,1.969474455,14.8790513,34970000,54.52799988,66.43299866,46.25125074,83.6,78.7,116.7122833,4.2,3.1,3.7,14.0153719,12.88582413,21.24065194,234.106532,0.85732638,24.699,0.022729759,1756.983421,13.4,92.13384,86.22865,10.6,48.8,4.222000122,4.96999979,75.301,1.132601158
Ghana,GHA,5.84,66.1256,32.262,19.4,8.821,2.3,111,71.03099823,74.45400238,4.117,0.271016569,1.021222392,41.03454338,3.917221644,1369.701122,88,89,452.4654395,292.738614,14.9,88.7,160,23.47812844,17.80022423,1.457397152,897000,75.48300171,78.51599884,50.1055835,62.511,60.521,129.7359971,26.1,42.8,61.6,22.98826426,38.81713803,3.394139481,120.461866,2.300231881,45.958,0.895805193,4.99819536,6.9,63.28745,57.88393,5.4,32.7,5.897999763,5.172999859,54.042,3.510292177
Greece,GRC,3.1,7.2346,8.5,2.2,11.2,5.2,58,31.26499939,46.88700104,1.3,30.91035071,47.28239225,31.45073701,-0.219147178,18006.97033,99,97,144.9743016,90.69758035,99,100,4.5,66.835,-1.043756492,11.34237737,23599000,43.93600082,59.9679985,43.89187116,84.2,79.1,112.9501854,8.1,3.6,4.6,13.48711001,14.60232704,21.39655818,83.94788984,-0.658861361,21.993,-2.143687034,192.0360843,4.3,93.14882,84.9668,9.3,49.6,28.8390007,21.81299973,78.007,-0.236219907
Grenada,GRD,3.75,29.5644,19.019,17.3,7.117,11.4,131,,,2.127,18.51744241,25.33788217,49.97058824,6.228710462,9212.020352,92,99,147.9337073,102.3423341,98,96.6,5.4,53.81,1.633768977,6.606131524,140700,,,,76.022,71.143,112.2527977,6.6,10.8,11.8,15.1402398,26.48350105,7.159372806,314.1911765,0.446584284,64.409,0.42966967,46.80552305,0.5,83.86638,72.27587,10.4,45.3,,,35.591,0.477202029
Guam,GUM,8.3161306,48.1208,17.183,,4.855,18.7,,48.71500015,61.61500168,2.366,,40.02707714,46.2962963,0.4472098,33752.24417,,,186.9801674,102.0579787,89.8,99.5,51,73.13999995,2.559668659,44.78853342,1409000,55.32799911,68.76000214,44.11764706,82.025,76.859,,,,,7.393453727,25.4666392,8.734732319,314.6018519,1.388170282,5.484,-0.042927668,206.0217206,,91.88774,86.03961,,,11.95100021,10.3920002,94.516,1.471832637
Guatemala,GTM,2.84,80.088,26.752,25.1,5.339,11.1,85,39.99499893,81.84899902,3.159,2.828940885,10.57422984,33.03471445,4.148784475,3903.478856,74,99,341.0333759,236.4590105,63.9,92.8,25,27.1,3.265567903,0.467187672,1865000,41.25299835,83.58699799,35.05714171,75.569,68.516,111.4812993,19.9,24.3,29.1,34.84767569,36.62282152,4.846533635,152.5093038,2.023674003,48.429,1.086502985,20.7429564,2.5,80.49193,68.38071,3.9,37.5,3.051000118,2.079999924,51.571,2.91181644
Guinea,GIN,3.07,139.5718,36.409,79,9.678,2.2,161,73.51599884,79.74199677,4.932,0.008098631,0,25.89939769,0.099994528,531.3205952,51,52,301.3632353,186.7491438,20.1,76.8,177,4.7,7.823395109,1.811566559,35000,79.47299957,85.14700317,48.32987278,59.679,58.731,87.17366364,28.1,61,93.7,22.63592379,42.53199604,3.063419462,51.31283575,2.677072216,62.839,1.914536431,0.475866056,7.7,58.87449,55.46538,0.7,68.3,7.494999886,6.34800005,37.161,3.979893871
Guinea-Bissau,GNB,1.16,87.5292,36.647,43.2,11.9,2.2,177,62.50899887,73.53700256,4.761,0.058787567,0,70.12802276,4.796779831,572.9884285,80,69,288.6706625,156.6949594,20.8,79.3,373,3.540706917,8.774475557,1.210903718,43800,67.24199677,78.32299805,46.79738249,57.302,53.72,69.2749664,26.8,60.3,92.5,32.98647968,40.79291882,3.168422051,65.58766003,2.40417326,50.668,0.872618922,1.626611362,6.3,56.7448,49.52293,4.3,45.5,7.039000034,6.110000134,49.332,4.002011639
Guyana,GUY,2.92,87.5772,19.288,10.9,8.242,11.2,140,35.13800049,70.01999664,2.532,6.6476311,19.07564409,83.9522479,3.005814078,4127.351018,95,99,257.3979058,152.8529229,83.7,98.3,93,38.2,-0.087382699,2.005514382,207000,41.79399872,77.1760025,35.01725655,68.88,64.248,67.18556335,15.3,32,39.4,17.3922441,28.80697706,5.006485592,3.896799594,0.416988961,71.447,0.285412726,16.94727442,29,71.55889,61.8782,8.6,32.3,15.92500019,9.272999763,28.553,0.746986898
Haiti,HTI,1.461652,38.88,24.578,235.3,8.629,6.9,180,51.98099899,63.01900101,2.973,0.012712507,0.053679219,3.519593614,1.185463497,818.3432976,60,53,332.5104231,169.4821023,27.6,57.7,194,12.19776638,7.21806574,0.3690482,516000,61.50099945,71.35800171,47.5422893,65.268,60.984,68.84369285,15.3,52.2,69,25.837657,33.74137236,4.630855171,388.6453919,1.306576618,41.355,-1.574957746,2.053950367,11.2,66.2693,58.36663,5.9,40.3,15.47900009,11.68599987,58.645,3.389669342
Honduras,HND,6.33,64.2684,20.881,42,5.015,9.2,101,41.4620018,80.46399689,2.332,2.343078641,5.900722906,41.04030744,3.643017191,2528.89355,85,87,278.2734558,208.5841001,82.6,91.2,43,20.35686743,6.299820533,0.347613516,880000,47.16600037,84.43000031,36.2628936,75.911,70.878,95.54210945,16.5,17.4,20.4,37.59004958,31.76279805,4.853264248,72.16963089,1.414026656,45.27,0.112631041,13.12683745,3.5,80.66141,73.24393,4,44.3,12.09399986,4.697999954,54.73,2.503425525
Hungary,HUN,4.47,17.7074,9.4,7.5,13.4,7.3,40,43.14400101,58.37200165,1.44,27.43098954,31.21889187,22.85430244,3.148083829,12365.62603,99,99,287.8309163,215.682162,98,100,9.3,72.8347,1.732130152,4.562465252,4929000,46.41400146,62.50899887,45.61303673,79.7,72.4,118.9116649,7.5,5.3,5.9,23.05838255,14.55870778,17.81789855,108.7266983,-0.237855002,28.773,-1.810265103,366.3506799,21.6,85.76524,70.43274,12.4,48.4,7.045000076,6.618999958,71.227,0.404417119
Iceland,ISL,7.65,5.653,12.5,2.2,6.6,6.1,18,67.82499695,74.44400024,1.93,36.95445582,49.93615025,0.490773067,4.170019104,50722.00108,92,93,204.5035535,137.0874339,98.8,100,2.4,98.2,5.927854743,11.3901495,1289000,70.66500092,77.5,47.79983407,84.5,81.3,114.0145756,3.6,1.6,2,7.78903328,20.31964787,13.71389542,3.299900249,1.041940387,5.863,-0.565525131,3406.737905,13.1,93.52044,90.6823,6.9,30.1,4.019000053,3.943000078,94.137,1.142917564
India,IND,3.08,23.2924,19.658,14.3,7.306,9.3,131,25.75799942,76.4489975,2.395,1.321185131,1.990033763,23.77311911,7.933744293,1593.257703,87,87,760.7812643,523.4685166,39.6,94.1,217,26,1.901014456,0.399752709,13284000,26.79999924,79.10900116,24.20407028,69.858,66.911,78.06172564,21.2,37.9,47.7,74.32984681,28.78812732,5.616110171,440.9575328,1.20929453,67.253,0.644375758,6.822010148,15.7,74.25415,66.57376,4.6,60.6,3.888999939,3.362999916,32.747,2.37958104
Indonesia,IDN,3.012535139,49.249,19.579,19.9,7.167,6.5,106,47.49000168,79.17700195,2.437,1.089129574,8.754489995,50.23819118,4.793921304,3346.487039,81,69,327.319188,196.2720224,60.8,87.4,395,21.97606771,4.230865166,0.127675543,10407000,50.88399887,83.85399628,37.78012,71.206,67.039,132.3482101,15.5,22.8,27.2,15.40820407,27.69238722,5.173729081,142.1771254,1.214438403,46.258,-0.370495991,7.95919256,2.9,76.311,67.14018,0.6,29.7,6.670000076,5.577000141,53.742,2.59906836
"Iran, Islamic Rep.",IRN,2.86,26.3422,17.084,2.7,4.607,10.1,117,13.05099964,66.01399994,1.685,10.86343996,38.27426533,6.564490778,,,98,99,300.7626997,185.8140751,90,96.2,16,45.33497588,,3.446397535,5237000,16.17300034,72.73300171,18.10937391,76.711,74.525,93.38482985,28,13.4,15.5,42.98979197,23.60947147,5.061114707,48.57024485,1.228136383,26.625,-0.706085611,5.524004822,3.6,87.88682,83.18993,1,44.1,19.30200005,9.237000465,73.375,1.939346895
Iraq,IRQ,4.6,84.8498,34.233,37.4,5.112,9.3,166,11.23099995,60.46300125,4.515,,5.583405481,1.89952109,3.019924564,4943.760388,58,57,393.6411809,246.2342793,85.6,86.6,43,17.22,-23.49523799,0.971576098,,15.09599972,69.73100281,17.7613731,71.847,67.441,93.82749352,17.8,26.5,32,51.99596281,40.98275847,3.056236246,83.86303877,3.208518261,30.529,2.848852597,1.31783432,3,77.98782,68.32706,0.5,27.8,25.60099983,13.29199982,69.471,3.366983237
Ireland,IRL,6.74,10.0948,14.2,0.2,6.4,4.4,15,48.35699844,60.52299881,1.94,27.70270556,40.87408205,10.94527508,26.27605727,61093.69108,95,93,140.107367,99.30564473,90.5,97.9,7.2,80.1224,4.879119771,15.91693657,9528000,52.3769989,67.81800079,44.12450958,83.5,79.6,103.7054863,4,3,3.6,9.799825902,21.78056144,13.13950301,67.40804181,0.572620077,36.759,-0.210558303,850.1767972,11.7,92.08747,87.87882,10.9,26,7.673999786,10.75599957,63.241,1.0306792
Israel,ISR,5.403614395,9.3078,21.3,3.4,5.3,7.5,49,55.68700027,65.81199646,3.09,27.43850391,43.08337568,7.624768946,2.507836062,35729.37253,94,98,172.4502468,128.1820606,100,100,4,77.35208966,2.765486134,24.94690004,2799000,58.86199951,69.36699677,46.99151165,84.1,80.1,133.4675501,3.2,3.2,4,21.09447276,27.83345709,11.23901233,387.2504621,1.981288976,7.86,1.170368436,288.7793702,5.5,93.3234,88.64954,3.1,27.9,5.394000053,5.124000072,92.14,2.050769916
Italy,ITA,3.93,5.9352,8,14,10.7,5.1,44,34.29700089,51.58599854,1.37,24.3696921,33.0529766,31.60739784,0.731730561,29993.07605,93,85,171.2755984,99.00684284,99.5,100,5.8,65.5716,0.625270303,9.680767742,50732000,39.30599976,58.14400101,42.11458286,86,81.1,142.1177275,5.6,2.9,3.5,19.86123293,13.71038193,22.4098759,206.4682872,-0.096376133,31.036,-0.556075644,288.8824612,7.9,93.97373,89.37335,6.1,64.8,12.74300003,11.27999973,68.964,0.111194826
Jamaica,JAM,6.14,58.7846,17.23,5,6.914,11.5,65,47.24700165,65.40699768,2.025,8.13606628,8.987706858,30.95106187,0.996498915,5105.793012,91,91,147.2660953,86.67045876,81.8,93.8,4.6,42.22122119,7.071610347,0.829367047,2123000,57.67100143,72.2009964,44.99797738,78.248,73.465,111.514583,10,13.5,15.7,16.99207352,23.57833915,9.138896695,257.9256694,0.359858912,45.212,-0.151912825,64.08110735,1.4,84.65395,76.99569,5.1,35.3,18.0739994,9.409000397,54.788,0.784163395
Japan,JPN,3.126861083,3.9706,7.9,7.5,10.2,5.7,32,47.5929985,67.62599945,1.46,30.65677678,50.23382915,68.46061005,1.219438139,34523.70077,96,96,170.8766744,119.1413031,100,100,17,91.05802839,2.035334505,1.614775057,19737000,49.12200165,70.16300201,42.89390185,87.05,80.79,126.5421967,4.7,2,2.7,13.33416293,12.85549617,26.34201314,348.2512399,-0.136430274,6.502,-7.216006636,971.0183027,19.6,94.1792,88.22351,7.5,50.4,3.112999916,3.615999937,93.498,0.375046485
Jordan,JOR,4.246201812,22.6438,26.512,20.7,3.839,11.7,119,10.85299969,57.37200165,3.366,4.164044131,4.797783026,1.09822032,2.382686856,4940.045836,99,94,442.2798542,155.7905321,98.6,96.9,7,53.4,2.28142876,40.9771116,3761000,14.23799992,64.36499786,17.33549566,75.932,72.557,179.4330122,23.6,15.4,17.9,38.79814209,35.5254237,3.785900594,85.54344447,2.377946955,16.321,0.966490303,27.65141884,3.2,84.36452,78.35717,0.7,29.5,23.77700043,10.86499977,83.679,2.655578683
Kazakhstan,KAZ,3.12828405,27.191,22.66,0.5,7.48,6.4,51,62.23899841,73.76200104,2.73,13.72056451,24.73279335,1.225691744,1.2,10509.98107,98,99,598.9285714,404.9863053,97.5,92.9,89,70.8299336,1.823549877,20.12330509,,66.06600189,76.98000336,49.00775593,76.9,67.5,156.8789431,23.2,12.6,14.1,19.66999774,26.71739925,6.735737743,6.498546505,1.463577578,46.753,1.555584002,17.6127326,27.5,80.62484,57.90192,8.2,29.2,5.793000221,4.181000233,53.247,1.38286199
Kenya,KEN,4.88,90.219,34.084,35.5,8.025,2.4,113,53.70199966,65.39299774,4.263,0.28900748,0.182884555,7.753803985,5.649197078,1376.712829,89,75,518.2198186,298.1161348,30.1,63.2,233,45.62280061,9.142686853,2.354722885,1114000,62.10599899,72.12999725,46.53668866,64.077,60.283,80.67820274,30.5,35.5,49.4,16.29880428,41.90906283,2.802444162,80.91208139,2.610792416,74.378,2.041014301,9.142176744,6.5,64.25495,57.22988,4,37.1,13.53100014,9.338999748,25.622,4.283431046
"Korea, Dem. People’s Rep.",PRK,,0.5222,14.326,,9.289,4.4,,71.03900146,81.5039978,1.968,,4.690855527,41.782244,,,96,98,282.3443364,144.5562737,81.9,99.7,561,,,0.192635219,,73.56600189,85.87599945,47.82333618,73.932,66.915,12.87997619,20.7,19.7,24.9,34.08883481,21.16742556,9.539438521,208.9138527,0.512315385,39.125,0.104209748,0.039753027,15.8,80.95982,68.15064,4.4,,3.434999943,5.09100008,60.875,0.775491111
"Korea, Rep.",KOR,4.11,1.5886,8.6,14.5,5.4,7.2,4,48.27299881,69.17199707,1.239,40.24989913,58.05557216,63.43865408,2.611935409,27221.52405,98,98,271.9941925,186.3481233,100,,80,89.64863086,2.209776706,2.639159354,13232000,50.01499939,71.81800079,41.66089353,85.48,78.99,118.4619172,12,2.9,3.4,28.66424214,13.99269992,13.126919,519.2556935,0.38220175,17.526,-0.266161302,2319.554609,32,94.60216,86.78873,10.9,33.2,3.482000113,3.684000015,82.474,0.520524298
Kuwait,KWT,3.19,9.4458,19.559,2.3,2.523,20,98,47.19900131,82.0039978,2.072,1.534855594,13.39510336,0.350729517,1.846999262,29300.57558,99,93,445.7983842,312.9089864,100,99,22,82.07911476,-27.20601458,73.63955073,,48.39199829,84.46199799,29.69146906,75.899,73.554,231.7631947,17.7,7.3,8.6,67.43349003,22.32410913,1.970111366,218.4127385,3.636495117,1.658,2.676081111,223.2719228,4,88.06731,82.80146,0.1,13,2.46600008,2.911000013,98.342,3.652766507
Kyrgyz Republic,KGZ,6.36,39.1966,27.4,2.1,5.8,6.3,73,44.93199921,71.99900055,3.2,3.705999567,7.149100775,3.321167883,3.469281026,1103.233871,97,99,729.1703996,389.6483902,93.3,90,144,30.24704278,2.180512236,3.440796423,3051000,49.40200043,77.0510025,40.25383214,74.8,66.7,132.7972052,20.1,19,21.3,16.92166624,31.4016487,4.226845222,31.05787278,2.059025966,64.293,1.869465539,11.41533348,7.4,81.78461,63.57087,3.9,29,9.048999786,6.55700016,35.707,2.401251735
Lao PDR,LAO,1.05,63.734,26.27,4.9,6.629,3.6,136,76.77400208,75.78600311,2.923,0.524798095,13.71146319,81.28860485,7.350386008,1818.441373,89,88,977.5818263,622.148326,70.9,75.7,182,18.2,-0.640843118,0.327020359,3543000,77.72299957,77.03800201,51.10892164,67.973,65.175,53.0961079,15,50.7,66.7,32.56943026,34.76961192,3.810586939,29.47150347,1.671083305,61.386,-0.045756614,2.499256471,12.3,71.49961,65.17356,7.5,25.3,1.220999956,1.625,38.614,4.462568479
Latvia,LVA,4.303576683,13.287,11.1,1.5,14.4,5.4,17,49.68099976,60.20899963,1.64,24.78648551,17.52519616,53.97233837,2.7383702,13654.84892,95,96,447.0281457,276.8084424,87.8,99.3,41,79.2006,0.387979119,13.35324026,2024000,54.37400055,67.72299957,49.60155715,79.4,69.1,127.5007249,9.9,6.9,7.9,20.41799195,14.92212902,19.36779594,31.80326472,-0.818626341,32.618,-0.698914619,456.6309335,21.7,86.27992,65.67505,10.6,35.9,8.630999565,11.09500027,67.382,-0.876524492
Lebanon,LBN,2.1,12.1846,15.397,34.2,4.547,13,122,20.88400078,66.69499969,1.722,25.39282701,20.0420332,13.42130987,1.3,8047.645086,81,79,295.9550562,176.2500053,80.7,99,13,74,1.638960072,34.1456803,1518000,23.4640007,70.25700378,24.7765291,81.493,77.853,92.16457338,19.3,7.1,8.3,32.60158923,23.99303815,8.135667555,571.9201369,4.164439343,12.208,3.170159444,48.19900652,3.1,91.4056,87.48338,2.2,30.3,10.99400043,5.070000172,87.792,4.303486202
Lesotho,LSO,9.73,93.1736,28.461,9.3,14.693,3.9,112,41.16500092,56.76200104,3.142,0.097258829,1.91357454,1.613965744,1.611940435,1066.985626,93,90,245.1694413,179.3311735,30.3,81.8,788,16.0717077,3.814422024,0.307818842,1082000,59.24599838,73.89399719,45.49791577,50.036,49.89,100.9445238,26.1,69.2,90.2,24.70117006,36.07264937,4.142299236,70.32351779,1.216964474,72.688,0.500054497,4.215413237,10.4,31.64553,31.44078,6.4,13.6,30.5170002,23.18400002,27.312,3.15037158
Liberia,LBR,3.66,107.1206,34.613,16.8,8.52,2.3,174,55.72600174,61.4280014,4.647,0.155436767,0.199847272,43.38662791,0,455.8739345,52,64,334.9101796,250.1259516,16.9,75.6,308,5.903867603,1.987083954,2.526491982,,57.95299911,63.91899872,47.61188288,62.192,60.179,81.09358204,35.1,52.8,69.9,7.851815034,42.30572287,3.011432599,46.75496262,2.402005282,50.299,1.62370873,3.552841185,6.3,63.09622,57.74012,5.2,45.6,3.844000101,3.895999908,49.701,3.195882079
Libya,LBY,2.1374382,6.1582,20.303,26.9,5.368,10.4,188,20.02599907,66.08399963,2.426,0.965636022,10.00462239,0.123327688,,,94,93,486.7498954,320.7126178,96.6,,40,19.01607978,,12.28244987,,27.83300018,78.74700165,26.22430865,74.753,69.039,157.0029191,25.3,11.4,13.4,79.20020559,29.83285015,4.540683527,3.568226923,0.310335181,21.446,-0.594822673,3.822606833,5.5,83.08986,72.15646,0,32.6,28.0510006,16.07999992,78.554,0.558882456
Lithuania,LTU,15.52,10.3996,10.8,0.6,14.1,4,21,49.52899933,58.84000015,1.63,27.78614917,18.73707264,34.79648843,1.778576184,14251.77987,93,94,518.2938039,296.0824285,92.4,96.6,56,71.378,0.240794882,4.726089623,2071000,53.9109993,65.45899963,50.00401837,80.6,69.9,139.5163805,13,3.3,5.2,19.06499459,14.5148789,18.84779939,46.36727853,-0.940753797,33.492,-0.899008925,244.0695237,32.7,86.52264,64.204,16.2,42.6,8.128000259,10.11200047,66.508,-0.961769007
Luxembourg,LUX,3.88,5.7284,10.7,2,7,4.7,57,48.36199951,62.05699921,1.5,35.9495712,50.96997576,33.47490347,3.532357385,99717.74472,99,99,208.2716051,138.2897801,97.6,100,6.1,97.3341,0.397893137,43.96413394,1090000,52.20199966,66.10600281,44.15560891,85.2,79.4,148.5105686,7.7,1.5,1.9,16.58784625,16.43367248,13.98141454,219.9243243,2.359951181,9.84,-0.52494493,2914.305377,11.1,92.39592,87.46933,11.2,20.6,7.355999947,6.125,90.16,2.679903454
"Macedonia, FYR",MKD,3.268652108,17.2636,11.257,0.1,9.492,10.3,16,32.8769989,49.91699982,1.535,17.18245007,17.58932436,39.57176844,3.665280361,4852.657848,91,89,305.6477718,172.3140886,90.9,99.4,13,70.3802,2.801125422,6.289774173,486000,43.88999939,68.11000061,39.6846447,77.854,73.249,98.78307513,8.1,4.8,5.5,40.4789043,16.95308963,12.32281894,82.4128866,0.136155385,42.896,-0.038576051,91.41414312,8,87.94545,78.43457,5.7,13,25.09199905,26.71100044,57.104,0.26761309
Madagascar,MDG,2.08,114.82,34.223,43.7,6.52,4,169,81.91100311,87.92299652,4.35,0.097766118,1.02859496,21.43863871,3.054156016,401.836006,69,58,269.8844641,173.0153333,12,51.5,236,4.17397219,7.554817496,0.132347777,244000,83.84999847,89.08799744,49.01200459,67.046,63.994,44.12458392,31.4,35.9,49.6,19.67682043,41.70933498,2.837816928,41.65587831,2.776657016,64.895,1.79985523,1.650478907,4.6,69.49362,62.51633,1.9,38.1,2.312000036,1.307999969,35.105,4.60788278
Malawi,MWI,6.9,135.349,38.542,84.6,7.471,3.6,141,75.53099823,75.7009964,5.048,0.033826949,0.08355343,33.37929571,2.826181331,371.9857478,88,87,434.2429871,280.5598564,41,90.2,193,9.298148347,21.0821735,1.249811795,805000,81.20800018,80.76899719,50.5696746,64.79,62.851,37.93879778,34.2,43.4,64,25.72702911,45.15698075,3.441394226,182.5968604,3.06701458,83.728,2.864181484,1.336026142,5.5,65.78021,61.81598,2.5,34.5,6.991000175,6.275000095,16.272,4.117252286
