Frequency,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
1.244,2.9446,-3.4596,4.5689,-1.5554,4.3574,6.2229,-38.565,-44.849
1.248,3.8446,-3.0596,4.0689,1.8446,5.7574,28.223,-20.565,-24.849
1.252,4.2446,-3.0596,4.7689,5.3446,5.9574,8.2229,-38.565,-40.849
1.256,4.2446,-0.5596,3.2689,7.5446,7.3574,10.223,-28.565,-32.849
1.26,6.6446,1.4404,-1.0311,6.5446,10.057,12.223,-12.565,-20.849
1.264,14.845,10.64,-5.1311,6.6446,7.9574,2.2229,-14.565,-10.849
1.268,14.845,12.04,-8.8311,6.6446,1.6574,8.2229,-16.565,-28.849
1.272,7.3446,6.8404,-9.4311,5.4446,-3.8426,24.223,5.435,-10.849
1.276,-9.9554,-8.9596,-0.0311,2.5446,-7.9426,0.2229,-16.565,-24.849
1.28,-16.655,-15.76,8.7689,-0.6554,-4.1426,-3.7771,-32.565,-26.849
1.284,-11.855,-10.76,9.6689,0.1446,1.5574,16.223,-2.565,11.151
1.288,-3.0554,-6.6596,6.5689,0.2446,2.9574,0.2229,-16.565,-8.8493
1.292,-1.3554,-7.1596,5.6689,1.1446,2.8574,4.2229,-10.565,-4.8493
1.296,-1.0554,-5.4596,5.1689,2.8446,1.8574,16.223,-2.565,3.1507
1.3,-2.8554,-4.3596,5.9689,3.6446,1.9574,12.223,-12.565,-6.8493
1.304,-2.5554,-5.0596,6.0689,3.6446,3.4574,-5.7771,-30.565,-34.849
1.308,-3.0554,-5.5596,5.4689,3.0446,4.5574,-17.777,-28.565,-24.849
1.312,-2.3554,-4.9596,5.0689,3.1446,4.5574,-7.7771,-14.565,-10.849
1.316,-2.4554,-4.1596,4.6689,3.1446,3.2574,-5.7771,-14.565,-10.849
1.32,-0.8554,-3.8596,5.6689,4.3446,4.1574,34.223,9.435,-12.849
1.324,-0.2554,-3.6596,3.6689,1.8446,1.1574,12.223,-6.565,-18.849
1.328,-1.8554,-5.2596,3.3689,2.0446,0.8574,10.223,-16.565,-28.849
1.332,-2.3554,-4.6596,4.8689,2.3446,1.8574,4.2229,-8.565,-26.849
1.336,-0.4554,-3.9596,4.4689,1.9446,2.1574,8.2229,-8.565,-4.8493
1.34,-1.1554,-1.8596,3.6689,0.3446,1.2574,2.2229,-14.565,-10.849
1.344,-0.2554,-0.6596,2.5689,3.4446,1.8574,12.223,-0.565,-2.8493
1.348,-0.6554,-2.1596,2.3689,4.5446,2.8574,18.223,7.435,-2.8493
1.352,-2.2554,-2.4596,2.1689,2.5446,0.2574,0.2229,-12.565,-8.8493
1.356,-3.1554,-2.5596,3.1689,5.0446,1.1574,2.2229,-8.565,3.1507
1.36,-1.2554,-1.0596,3.4689,3.5446,1.6574,6.2229,7.435,15.151
1.364,-2.4554,-3.0596,4.0689,4.7446,4.2574,26.223,21.435,19.151
1.368,-3.1554,-2.8596,5.0689,4.2446,3.9574,26.223,23.435,11.151
1.372,-4.4554,-3.9596,1.6689,3.6446,1.1574,10.223,21.435,-2.8493
1.376,-6.0554,-4.1596,-0.6311,4.3446,-1.9426,0.2229,3.435,13.151
1.38,-4.9554,-1.7596,-2.4311,9.1446,-0.3426,44.223,51.435,55.151
1.384,-4.7554,1.9404,-3.4311,7.1446,-0.7426,32.223,45.435,51.151
1.388,-4.7554,0.9404,-3.3311,6.7446,-2.5426,16.223,39.435,31.151
1.392,-6.0554,0.2404,-3.2311,6.2446,-4.2426,18.223,43.435,31.151
1.396,-6.6554,1.5404,-1.9311,5.7446,-3.4426,22.223,55.435,41.151
1.4,-6.5554,1.2404,-1.3311,7.2446,-3.5426,-15.777,23.435,29.151
1.404,-4.3554,2.6404,-0.6311,6.5446,-2.2426,-15.777,19.435,25.151
1.408,-0.8554,1.8404,0.5689,6.2446,-1.7426,-13.777,21.435,23.151
1.412,1.2446,2.1404,1.0689,3.8446,-0.4426,-15.777,13.435,5.1507
1.416,1.4446,1.2404,1.9689,3.2446,0.8574,-15.777,13.435,11.151
1.42,1.0446,0.7404,0.4689,2.8446,-0.9426,-25.777,-2.565,-8.8493
1.424,0.9446,2.0404,-0.2311,3.4446,-1.1426,-5.7771,5.435,-2.8493
1.428,1.7446,-0.4596,1.6689,2.8446,-1.0426,-21.777,-18.565,-22.849
1.432,2.3446,-1.9596,2.6689,1.7446,0.2574,-1.7771,-4.565,-14.849
1.436,3.4446,-3.2596,3.1689,1.8446,0.5574,-11.777,-24.565,-46.849
1.44,3.5446,-3.2596,2.7689,2.6446,0.5574,-1.7771,-28.565,-40.849
1.444,4.1446,-3.5596,2.7689,3.3446,2.4574,2.2229,-30.565,-42.849
1.448,3.9446,-6.0596,1.5689,3.9446,3.7574,-11.777,-34.565,-48.849
1.452,4.4446,-5.4596,2.6689,6.6446,4.9574,8.2229,-26.565,-48.849
1.456,4.0446,-6.3596,2.7689,2.6446,2.9574,6.2229,-14.565,-28.849
1.46,3.6446,-4.8596,4.9689,3.4446,1.9574,4.2229,-24.565,-30.849
1.464,3.7446,-4.0596,5.7689,4.5446,1.7574,8.2229,-16.565,-18.849
1.468,5.3446,-4.3596,5.9689,5.2446,1.5574,-9.7771,-22.565,-30.849
1.472,3.4446,-5.0596,5.2689,5.5446,4.0574,-1.7771,-28.565,-30.849
1.476,3.9446,-2.6596,6.2689,5.3446,5.1574,12.223,-14.565,-22.849
1.48,2.7446,-3.9596,5.0689,5.4446,5.1574,0.2229,-24.565,-34.849
1.484,2.2446,-6.7596,4.5689,3.6446,5.7574,-1.7771,-20.565,-28.849
1.488,3.6446,-6.5596,2.4689,2.8446,5.1574,-7.7771,-24.565,-42.849
1.492,2.8446,-6.4596,1.5689,5.2446,5.5574,-5.7771,-18.565,-36.849
1.496,1.5446,-6.2596,1.8689,6.6446,4.8574,-3.7771,-20.565,-28.849
1.5,0.9446,-6.0596,1.9689,5.1446,3.4574,-9.7771,-22.565,-6.8493
1.504,1.6446,-2.5596,2.9689,5.1446,3.6574,0.2229,-14.565,-20.849
1.508,0.9446,-2.3596,1.5689,4.9446,2.6574,10.223,5.435,-6.8493
1.512,-1.0554,-2.8596,2.1689,5.6446,1.8574,-5.7771,-2.565,-8.8493
1.516,0.1446,-2.2596,3.5689,6.9446,3.6574,32.223,-4.565,-0.8493
1.52,0.0446,-6.1596,5.5689,7.0446,5.6574,36.223,-38.565,-16.849
1.524,-2.6554,-9.5596,7.1689,7.4446,9.0574,60.223,-38.565,-4.8493
1.528,-5.3554,-12.16,6.1689,10.745,9.7574,72.223,-8.565,37.151
1.532,-6.3554,-10.86,4.0689,15.645,6.9574,56.223,25.435,59.151
1.536,-11.955,-4.9596,-1.6311,16.945,-2.0426,8.2229,165.44,211.15
1.54,-18.755,6.5404,-12.131,20.145,-16.143,-121.78,315.44,367.15
1.544,-27.655,28.34,-28.631,21.845,-35.143,-277.78,499.43,521.15
1.548,-35.855,52.04,-45.631,20.745,-56.043,-459.78,641.43,661.15
1.552,-40.955,69.84,-55.131,18.145,-71.443,-631.78,747.43,767.15
1.556,-46.455,85.24,-65.531,13.645,-87.343,-727.78,831.43,793.15
1.56,-40.255,100.04,-65.431,3.0446,-89.043,-627.78,723.43,541.15
1.564,-16.455,95.94,-48.831,-11.755,-67.743,-379.78,485.43,177.15
1.568,13.545,79.44,-25.731,-24.955,-40.043,-165.78,147.44,-124.85
1.572,29.645,53.34,-3.7311,-28.455,-14.543,22.223,-124.56,-336.85
1.576,36.245,23.54,10.369,-24.655,4.6574,138.22,-258.56,-382.85
1.58,33.945,0.3404,17.269,-11.855,17.857,180.22,-286.56,-324.85
1.584,22.845,-18.36,18.769,0.0446,25.657,204.22,-244.56,-230.85
1.588,15.645,-26.66,18.969,7.6446,27.857,178.22,-238.56,-196.85
1.592,11.545,-30.06,19.169,9.8446,28.857,182.22,-212.56,-172.85
1.596,7.5446,-31.56,16.869,8.5446,26.557,156.22,-218.56,-166.85
1.6,8.5446,-31.06,17.569,9.3446,25.857,150.22,-204.56,-148.85
1.604,7.1446,-30.36,16.769,8.9446,25.557,156.22,-188.56,-124.85
1.608,6.6446,-28.86,16.569,6.9446,23.857,134.22,-184.56,-134.85
1.612,6.8446,-27.06,16.369,7.0446,23.357,138.22,-174.56,-124.85
1.616,6.8446,-26.96,15.569,7.4446,22.257,116.22,-158.56,-118.85
1.62,5.7446,-26.36,15.269,9.2446,20.957,116.22,-156.56,-108.85
1.624,5.8446,-25.56,14.369,12.545,19.557,108.22,-154.56,-104.85
1.628,5.8446,-23.26,13.969,12.745,16.957,114.22,-118.56,-64.849
1.632,4.9446,-20.96,15.269,12.545,15.857,102.22,-120.56,-88.849
1.636,2.0446,-22.46,15.169,14.145,16.057,92.223,-112.56,-84.849
1.64,1.5446,-19.66,14.169,12.845,15.557,96.223,-92.565,-70.849
1.644,1.8446,-17.86,12.569,10.445,11.857,82.223,-84.565,-54.849
1.648,2.7446,-15.96,11.869,10.345,10.157,60.223,-90.565,-62.849
1.652,3.1446,-15.36,10.469,8.4446,9.7574,68.223,-76.565,-56.849
1.656,3.1446,-13.86,9.7689,7.8446,8.2574,58.223,-70.565,-46.849
1.66,1.6446,-12.66,11.269,8.8446,9.7574,78.223,-50.565,-38.849
1.664,0.5446,-13.16,9.8689,7.6446,7.6574,58.223,-42.565,-28.849
1.668,3.1446,-12.26,9.3689,7.9446,6.5574,48.223,-54.565,-40.849
1.672,1.4446,-10.66,9.4689,8.1446,8.0574,54.223,-46.565,-38.849
1.676,0.4446,-10.76,7.8689,7.8446,7.0574,44.223,-32.565,-20.849
1.68,0.9446,-7.7596,8.8689,10.345,6.3574,38.223,-38.565,-36.849
1.684,0.5446,-7.3596,9.9689,7.2446,6.6574,42.223,-24.565,-8.8493
1.688,0.1446,-4.8596,6.5689,7.0446,5.4574,30.223,-18.565,-2.8493
1.692,0.8446,-3.9596,5.1689,8.0446,4.8574,28.223,-16.565,-14.849
1.696,3.4446,-5.1596,6.3689,8.7446,6.0574,42.223,-10.565,-16.849
1.7,1.0446,-5.1596,6.0689,7.4446,5.0574,18.223,-24.565,-16.849
1.704,-0.5554,-3.6596,7.3689,12.145,7.0574,32.223,-10.565,-4.8493
1.708,2.4446,-2.0596,4.1689,12.645,7.3574,32.223,1.435,-0.8493
1.712,7.6446,2.0404,0.6689,10.845,8.3574,34.223,9.435,7.1507
1.716,17.345,9.3404,-3.2311,11.145,8.4574,14.223,-6.565,-10.849
1.72,17.845,12.14,-9.6311,9.8446,3.7574,28.223,17.435,15.151
1.724,12.745,9.3404,-13.131,7.3446,-4.3426,6.2229,5.435,13.151
1.728,-2.4554,-2.3596,-5.0311,5.9446,-10.143,0.2229,3.435,9.1507
1.732,-13.855,-11.56,6.2689,4.1446,-8.5426,24.223,21.435,21.151
1.736,-10.955,-10.86,6.9689,1.1446,-5.3426,14.223,19.435,27.151
1.74,-1.7554,-3.4596,5.3689,2.4446,-1.2426,6.2229,13.435,17.151
1.744,-0.2554,0.3404,4.8689,3.7446,-1.0426,8.2229,35.435,53.151
1.748,-0.0554,1.8404,5.1689,3.0446,-1.3426,-11.777,19.435,35.151
1.752,-0.7554,1.0404,5.6689,2.7446,-1.8426,-11.777,25.435,29.151
1.756,-1.9554,0.6404,3.6689,2.3446,-3.2426,-13.777,31.435,37.151
1.76,-3.1554,-1.0596,1.4689,2.2446,-4.9426,-23.777,31.435,27.151
1.764,-3.0554,-0.2596,1.5689,3.6446,-3.8426,-13.777,39.435,35.151
1.768,-1.3554,1.7404,2.1689,5.9446,-2.8426,0.2229,67.435,57.151
1.772,-0.5554,3.6404,1.7689,6.1446,-3.5426,-17.777,53.435,49.151
1.776,-1.5554,4.1404,0.9689,8.5446,-1.1426,-27.777,43.435,37.151
1.78,-1.9554,2.6404,-2.1311,6.3446,-1.9426,-39.777,39.435,31.151
1.784,-0.5554,2.5404,-0.3311,6.8446,-2.1426,-27.777,35.435,33.151
1.788,-0.9554,0.9404,1.7689,10.245,-1.0426,6.2229,77.435,63.151
1.792,-0.0554,3.4404,1.0689,9.0446,-2.1426,-15.777,59.435,57.151
1.796,-0.6554,4.5404,-0.8311,7.3446,-2.5426,-29.777,49.435,41.151
1.8,-1.9554,2.2404,-1.2311,7.1446,-2.0426,-23.777,53.435,41.151
1.804,-2.6554,1.0404,-1.9311,6.2446,-2.6426,-19.777,69.435,55.151
1.808,-2.4554,2.6404,-3.1311,6.3446,-3.8426,-41.777,37.435,25.151
1.812,-2.1554,3.7404,-0.4311,7.5446,-1.4426,-15.777,55.435,35.151
1.816,-2.3554,0.9404,0.8689,5.8446,-2.1426,-21.777,55.435,55.151
1.82,-0.9554,2.3404,0.6689,7.4446,-2.5426,-21.777,43.435,61.151
1.824,-2.1554,2.1404,1.9689,9.1446,-0.4426,-25.777,29.435,39.151
1.828,-3.1554,-0.2596,1.9689,7.1446,2.2574,-13.777,39.435,45.151
1.832,-3.1554,-1.3596,1.5689,7.5446,3.7574,-11.777,15.435,17.151
1.836,-2.4554,-2.3596,3.2689,8.5446,6.3574,14.223,33.435,37.151
1.84,-2.7554,-2.8596,3.2689,9.0446,6.2574,26.223,23.435,37.151
1.844,-0.2554,-4.8596,4.3689,8.4446,5.1574,8.2229,-12.565,-6.8493
1.848,-0.4554,-8.3596,5.3689,8.6446,5.9574,28.223,-6.565,19.151
1.852,1.7446,-7.3596,6.9689,6.3446,5.6574,12.223,-36.565,-16.849
1.856,0.6446,-6.7596,7.6689,3.9446,7.1574,40.223,-28.565,-12.849
1.86,1.8446,-5.7596,10.969,4.7446,8.1574,34.223,-42.565,-62.849
1.864,0.4446,-9.1596,9.7689,5.0446,10.857,68.223,-12.565,-36.849
1.868,3.6446,-9.4596,7.9689,4.2446,9.2574,26.223,-54.565,-58.849
1.872,3.5446,-10.36,9.1689,3.4446,9.0574,12.223,-70.565,-62.849
1.876,3.5446,-8.2596,10.869,3.0446,10.557,48.223,-48.565,-44.849
1.88,4.5446,-7.7596,11.969,4.0446,11.457,40.223,-68.565,-70.849
1.884,4.0446,-7.6596,13.469,4.3446,12.257,70.223,-40.565,-50.849
1.888,5.9446,-8.5596,10.669,4.0446,11.857,54.223,-48.565,-72.849
1.892,5.7446,-9.1596,8.2689,3.2446,9.2574,40.223,-72.565,-88.849
1.896,3.8446,-8.1596,9.0689,4.9446,9.1574,46.223,-48.565,-66.849
1.9,3.3446,-6.7596,8.6689,4.1446,10.057,56.223,-34.565,-42.849
1.904,5.7446,-5.3596,8.8689,4.0446,8.7574,34.223,-40.565,-58.849
1.908,4.8446,-6.0596,7.9689,3.6446,8.5574,38.223,-40.565,-54.849
1.912,3.6446,-4.7596,7.9689,3.5446,7.3574,26.223,-38.565,-42.849
1.916,1.3446,-5.1596,5.9689,4.8446,7.6574,20.223,-40.565,-52.849
1.92,1.3446,-5.3596,5.2689,5.9446,7.4574,14.223,-44.565,-54.849
1.924,-0.4554,-5.4596,5.2689,7.2446,8.8574,20.223,-32.565,-52.849
1.928,-0.8554,-6.3596,4.1689,4.5446,7.8574,24.223,-22.565,-40.849
1.932,-0.0554,-6.1596,6.9689,5.7446,7.0574,32.223,-14.565,-14.849
1.936,-0.4554,-5.0596,7.9689,7.1446,6.7574,14.223,-20.565,-12.849
1.94,-0.6554,-5.5596,8.0689,7.6446,8.1574,30.223,-10.565,-12.849
1.944,-1.4554,-7.0596,6.1689,6.2446,7.5574,14.223,-20.565,-22.849
1.948,-1.9554,-6.3596,6.2689,6.7446,7.3574,12.223,-18.565,-20.849
1.952,-1.0554,-3.6596,7.3689,8.9446,7.6574,14.223,-8.565,-12.849
1.956,-1.9554,-4.9596,4.4689,9.9446,6.3574,6.2229,-14.565,-20.849
1.96,-5.7554,-7.3596,5.2689,10.045,5.3574,2.2229,-12.565,-14.849
1.964,-7.2554,-5.3596,4.2689,9.7446,3.6574,-5.7771,-14.565,-16.849
1.968,-7.7554,-3.9596,4.8689,9.3446,3.6574,2.2229,-12.565,-12.849
1.972,-8.7554,-3.5596,5.7689,9.7446,3.7574,2.2229,-12.565,-34.849
1.976,-12.655,-7.4596,4.1689,6.7446,3.1574,12.223,-2.565,-10.849
1.98,-10.855,-5.7596,2.2689,5.7446,1.7574,2.2229,-8.565,-20.849
1.984,-10.355,-5.4596,3.8689,7.4446,1.9574,4.2229,-6.565,-8.8493
1.988,-7.2554,-1.8596,3.4689,8.6446,4.0574,18.223,3.435,1.1507
1.992,-6.8554,-1.1596,2.8689,6.2446,3.0574,2.2229,-10.565,-20.849
1.996,-6.7554,-3.0596,3.5689,5.8446,2.9574,12.223,3.435,-8.8493
2,-6.6554,-2.8596,3.5689,4.8446,3.3574,16.223,-8.565,-26.849
2.004,-5.0554,-2.5596,4.7689,4.6446,2.3574,0.2229,7.435,-12.849
2.008,-4.6554,-3.1596,4.7689,6.8446,4.8574,18.223,-0.565,1.1507
2.012,-4.8554,-3.7596,3.5689,3.4446,3.1574,-15.777,-14.565,-24.849
2.016,-6.0554,-4.6596,6.6689,3.4446,4.5574,4.2229,-4.565,-10.849
2.02,-7.3554,-4.9596,4.7689,4.1446,3.8574,-7.7771,-4.565,-4.8493
2.024,-3.6554,-1.4596,4.5689,7.1446,4.7574,8.2229,-8.565,-6.8493
2.028,-5.3554,-4.8596,2.6689,5.8446,4.5574,8.2229,7.435,-2.8493
2.032,-5.5554,-3.6596,4.0689,6.0446,4.3574,6.2229,-2.565,-16.849
2.036,-3.6554,-2.6596,4.1689,8.0446,5.3574,20.223,11.435,-2.8493
2.04,-5.9554,-3.1596,4.3689,6.6446,5.0574,16.223,5.435,11.151
2.044,-5.0554,-1.6596,2.8689,8.0446,4.6574,28.223,9.435,7.1507
2.048,-6.4554,-1.5596,0.8689,9.2446,4.4574,22.223,17.435,19.151
2.052,-7.1554,-0.5596,0.8689,10.945,3.3574,22.223,27.435,27.151
2.056,-8.4554,0.1404,0.1689,10.045,2.9574,12.223,27.435,35.151
2.06,-8.4554,0.8404,-0.1311,8.1446,2.3574,28.223,33.435,35.151
2.064,-6.7554,1.4404,-0.6311,7.1446,0.1574,16.223,27.435,29.151
2.068,-5.4554,2.6404,-0.9311,9.4446,0.8574,26.223,49.435,31.151
2.072,-5.2554,2.0404,-0.9311,10.045,-1.0426,18.223,35.435,11.151
2.076,-5.6554,0.9404,-0.4311,10.245,-1.8426,22.223,55.435,39.151
2.08,-3.8554,1.2404,1.2689,10.245,-3.2426,-23.777,15.435,19.151
2.084,-7.0554,-2.9596,3.3689,9.2446,1.0574,-11.777,39.435,43.151
2.088,-5.1554,-1.4596,4.0689,7.3446,2.6574,-37.777,-2.565,-0.8493
2.092,-4.0554,-2.0596,4.1689,4.9446,3.8574,-25.777,13.435,3.1507
2.096,-1.0554,-1.3596,4.6689,5.2446,3.1574,-25.777,9.435,-2.8493
2.1,-0.1554,-0.2596,4.4689,3.3446,1.4574,-39.777,-10.565,-22.849
2.104,2.0446,0.3404,5.2689,-0.3554,2.4574,-33.777,-8.565,-26.849
2.108,2.5446,-0.0596,5.7689,0.6446,4.4574,-25.777,-20.565,-40.849
2.112,1.7446,-3.3596,4.6689,3.0446,5.6574,-9.7771,-14.565,-34.849
2.116,2.3446,-2.5596,5.0689,3.1446,5.8574,-19.777,-28.565,-44.849
2.12,2.3446,-3.4596,5.8689,3.4446,5.6574,-3.7771,-24.565,-28.849
2.124,3.2446,-3.6596,7.3689,2.5446,5.6574,-1.7771,-26.565,-46.849
2.128,3.7446,-5.1596,7.7689,1.2446,4.4574,-1.7771,-38.565,-56.849
2.132,3.8446,-6.1596,7.2689,1.6446,5.6574,24.223,-0.565,-22.849
2.136,6.4446,-4.4596,5.9689,-1.3554,3.5574,2.2229,-28.565,-34.849
2.14,5.6446,-3.0596,6.7689,0.3446,5.2574,10.223,-18.565,-44.849
2.144,3.5446,-6.5596,4.1689,-1.3554,3.8574,0.2229,-28.565,-50.849
2.148,4.0446,-2.8596,6.5689,0.2446,2.9574,-1.7771,-10.565,-38.849
2.152,3.7446,-0.4596,6.3689,3.8446,4.5574,-5.7771,-24.565,-34.849
2.156,3.8446,-2.9596,4.3689,6.5446,6.8574,-11.777,-20.565,-42.849
2.16,5.4446,-3.5596,2.2689,6.4446,6.3574,-21.777,-32.565,-54.849
2.164,10.445,1.0404,-0.7311,6.1446,8.8574,-17.777,-22.565,-34.849
2.168,18.045,8.8404,-5.1311,6.8446,7.9574,-5.7771,-12.565,-22.849
2.172,17.445,11.14,-10.831,7.3446,3.1574,0.2229,-14.565,-36.849
2.176,8.9446,5.1404,-10.131,6.5446,-3.0426,12.223,-2.565,-20.849
2.18,-5.4554,-7.9596,1.2689,3.6446,-6.3426,10.223,-0.565,-10.849
2.184,-12.655,-15.26,8.7689,1.9446,-4.0426,-7.7771,-22.565,-12.849
2.188,-7.3554,-9.4596,9.9689,2.9446,1.1574,10.223,3.435,1.1507
2.192,-0.8554,-4.2596,7.4689,1.8446,4.4574,18.223,-2.565,-6.8493
2.196,0.6446,-7.5596,6.8689,3.5446,7.7574,20.223,-30.565,-30.849
2.2,-1.8554,-12.96,3.7689,3.0446,9.5574,30.223,-44.565,-18.849
2.204,-1.5554,-13.06,6.7689,7.8446,12.157,70.223,-44.565,-8.8493
2.208,-2.7554,-13.26,5.3689,9.8446,12.157,94.223,5.435,23.151
2.212,-6.2554,-9.1596,0.9689,12.845,5.1574,46.223,67.435,91.151
2.216,-12.155,-0.6596,-7.9311,14.845,-6.1426,-47.777,193.44,255.15
2.22,-23.155,14.14,-20.831,17.445,-24.243,-213.78,363.44,425.15
2.224,-31.055,38.24,-32.631,20.945,-45.143,-361.78,555.43,601.15
2.228,-37.955,58.44,-47.331,15.445,-64.743,-581.78,651.43,695.15
2.232,-42.655,79.14,-59.131,12.845,-81.843,-723.78,765.43,781.15
2.236,-43.455,95.94,-68.831,4.6446,-92.443,-731.78,765.43,663.15
2.24,-26.655,100.14,-60.631,-8.3554,-80.943,-557.78,567.43,355.15
2.244,2.2446,89.44,-37.331,-19.655,-56.043,-339.78,259.44,5.1507
2.248,20.645,61.64,-15.231,-24.155,-27.543,-95.777,-4.565,-230.85
2.252,34.445,34.14,3.0689,-24.655,-4.2426,74.223,-202.56,-360.85
2.256,36.845,9.2404,13.969,-17.255,12.957,172.22,-254.56,-338.85
2.26,28.745,-13.36,19.469,-5.9554,22.957,204.22,-240.56,-270.85
2.264,16.945,-25.16,19.169,0.1446,25.457,182.22,-226.56,-206.85
2.268,11.045,-29.46,18.369,6.1446,26.257,176.22,-222.56,-172.85
2.272,7.9446,-32.86,17.969,5.1446,26.657,178.22,-198.56,-148.85
2.276,4.6446,-35.96,15.869,4.1446,24.557,170.22,-184.56,-122.85
2.28,6.0446,-31.36,16.469,4.2446,23.757,172.22,-182.56,-134.85
2.284,5.1446,-30.66,16.769,4.3446,24.557,178.22,-150.56,-116.85
2.288,6.4446,-30.66,14.969,4.7446,21.057,136.22,-170.56,-124.85
2.292,5.0446,-30.36,12.969,6.1446,20.257,130.22,-154.56,-106.85
2.296,6.2446,-27.26,13.669,7.4446,18.057,120.22,-148.56,-106.85
2.3,4.8446,-25.36,14.169,5.2446,18.857,144.22,-110.56,-88.849
2.304,4.3446,-26.86,14.969,3.9446,16.857,114.22,-130.56,-98.849
2.308,4.6446,-25.96,12.069,4.1446,15.157,116.22,-106.56,-60.849
2.312,2.7446,-23.06,9.3689,4.8446,12.157,94.223,-108.56,-72.849
2.316,3.9446,-20.16,9.4689,5.4446,11.857,86.223,-106.56,-68.849
2.32,2.0446,-19.66,8.5689,5.6446,12.057,90.223,-68.565,-40.849
2.324,2.0446,-17.76,8.6689,7.1446,12.057,60.223,-92.565,-66.849
2.328,0.7446,-17.76,7.9689,5.9446,11.557,76.223,-66.565,-42.849
2.332,0.5446,-15.56,7.6689,5.3446,10.257,76.223,-62.565,-42.849
2.336,3.2446,-12.86,7.2689,6.4446,9.8574,98.223,-34.565,-14.849
2.34,4.0446,-12.76,5.0689,5.6446,7.9574,68.223,-56.565,-40.849
2.344,2.2446,-13.26,3.9689,5.5446,6.6574,58.223,-50.565,-46.849
2.348,2.7446,-11.26,1.0689,3.2446,4.7574,44.223,-48.565,-34.849
2.352,4.2446,-8.2596,1.9689,4.2446,4.1574,52.223,-34.565,-20.849
2.356,2.5446,-8.1596,2.5689,1.5446,2.0574,48.223,-28.565,-20.849
2.36,2.7446,-7.8596,1.3689,2.8446,1.6574,48.223,-24.565,-10.849
2.364,3.7446,-6.0596,1.8689,3.7446,1.2574,34.223,-32.565,-28.849
2.368,3.3446,-4.4596,0.5689,1.5446,2.2574,36.223,-28.565,-20.849
2.372,3.4446,-1.3596,1.7689,3.4446,2.3574,34.223,-14.565,1.1507
2.376,1.1446,-1.8596,2.4689,1.3446,2.2574,30.223,-28.565,-10.849
2.38,0.6446,-3.4596,1.7689,1.4446,1.6574,32.223,-6.565,-0.8493
2.384,2.1446,-2.4596,0.4689,1.0446,-0.4426,32.223,-14.565,-14.849
2.388,3.7446,-0.3596,-1.1311,2.1446,-2.3426,24.223,-14.565,-10.849
2.392,0.2446,0.2404,-1.9311,2.9446,-2.5426,34.223,1.435,17.151
2.396,-0.9554,0.4404,-2.4311,3.9446,-1.8426,26.223,7.435,15.151
2.4,1.8446,-1.0596,-1.9311,1.8446,-3.0426,-1.7771,-10.565,9.1507
2.404,0.8446,0.0404,-0.9311,0.8446,-2.7426,22.223,7.435,13.151
2.408,-0.9554,-2.4596,-2.0311,-0.9554,-4.6426,6.2229,15.435,31.151
2.412,-0.3554,-0.0596,-0.2311,1.6446,-2.7426,12.223,-6.565,-22.849
2.416,-3.5554,-2.3596,-1.6311,0.8446,-3.2426,10.223,21.435,13.151
2.42,-1.6554,-2.4596,-1.8311,-0.6554,-3.9426,0.2229,7.435,1.1507
2.424,-2.0554,-3.1596,-1.3311,3.5446,-2.4426,14.223,33.435,19.151
2.428,-2.8554,-2.0596,-4.5311,5.1446,-3.6426,-5.7771,29.435,27.151
2.432,-0.8554,1.5404,-2.0311,5.9446,-3.3426,-1.7771,23.435,17.151
2.436,-1.8554,1.7404,-1.4311,6.1446,-3.9426,-7.7771,27.435,25.151
2.44,-2.4554,1.9404,-0.5311,6.8446,-4.3426,-19.777,37.435,31.151
2.444,-2.7554,0.3404,1.2689,7.0446,-4.8426,-19.777,37.435,47.151
2.448,-2.8554,2.8404,0.4689,4.4446,-5.2426,-29.777,29.435,33.151
2.452,-4.0554,2.7404,0.3689,4.4446,-4.6426,-15.777,49.435,37.151
2.456,-4.0554,1.3404,-2.2311,1.9446,-5.8426,-31.777,29.435,33.151
2.46,-3.9554,1.0404,-2.4311,1.4446,-5.7426,-21.777,39.435,15.151
2.464,-3.2554,1.8404,-3.2311,2.9446,-5.4426,-29.777,35.435,25.151
2.468,-1.0554,3.0404,-5.4311,4.5446,-4.3426,-35.777,33.435,27.151
2.472,-3.0554,3.9404,-4.8311,4.8446,-2.2426,-25.777,39.435,39.151
2.476,-3.5554,4.9404,-3.1311,4.9446,-2.0426,-25.777,49.435,33.151
2.48,-5.8554,3.5404,-2.8311,3.1446,-2.1426,-37.777,29.435,17.151
2.484,-5.0554,3.6404,-3.7311,4.1446,-1.4426,-35.777,45.435,25.151
2.488,-5.5554,2.6404,-2.9311,3.1446,-0.8426,-37.777,29.435,39.151
2.492,-4.6554,2.4404,-3.1311,3.8446,-3.1426,-47.777,27.435,39.151
2.496,-2.6554,2.6404,-4.1311,6.2446,-2.6426,-17.777,37.435,33.151
2.5,-2.5554,1.4404,-2.3311,5.0446,-2.2426,-13.777,33.435,37.151
2.504,-2.8554,1.7404,-2.4311,4.8446,-0.8426,-5.7771,25.435,25.151
2.508,-4.3554,0.6404,-3.5311,3.7446,0.4574,-9.7771,19.435,29.151
